tick,worker_id,origin_lot_id,budget,sampled_count,chosen_firm_id,chosen_firm_type,chosen_price,chosen_score,best_sampled_firm_id,best_sampled_score,best_global_firm_id,best_global_score,best_global_price,better_unsampled_count,affordable_global_count
1.0,25.0,1573.0,9.40907846809629,13.0,38.0,1.0,5.560806066287892,0.08499183929587835,38.0,0.08499183929587835,7.0,0.1195416514672527,3.953627290074344,31.0,120.0
1,25,1573,3.848272401808398,10,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,26,1148,8.460679469298196,8,,,NaN,-Inf,,-Inf,7,0.1375901862398235,3.953627290074344,0,120
1,27,1579,8.628957996845616,8,,,NaN,-Inf,,-Inf,54,0.10476653593766858,4.052426830776183,0,120
1,28,826,8.716041637840501,9,,,NaN,-Inf,,-Inf,17,0.1583564802467022,4.004186285051901,0,120
1,29,142,8.22320700108157,10,,,NaN,-Inf,,-Inf,7,0.13137787513405072,3.953627290074344,0,120
1.0,30.0,248.0,8.973124942973286,8.0,42.0,2.0,5.5121838212456105,0.1224203561316718,42.0,0.1224203561316718,17.0,0.1685245037123393,4.004186285051901,36.0,120.0
1,30,248,3.460941121727675,9,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,31,404,7.609649957968689,10,,,NaN,-Inf,,-Inf,17,0.09576892571788109,4.004186285051901,0,120
1.0,32.0,659.0,9.847685471767656,10.0,23.0,2.0,4.794138690895765,0.028220402917354344,23.0,0.028220402917354344,54.0,0.13931946742930182,4.052426830776183,98.0,120.0
1,32,659,5.0535467808718915,9,,,NaN,-Inf,,-Inf,54,0.13931946742930182,4.052426830776183,0,71
1,33,181,8.83031266771974,10,,,NaN,-Inf,,-Inf,7,0.147113407117614,3.953627290074344,0,120
1,34,91,7.646195452606456,9,,,NaN,-Inf,,-Inf,54,0.09795583539917387,4.052426830776183,0,120
1,35,1254,6.966229314856437,10,,,NaN,-Inf,,-Inf,7,0.0914734461743858,3.953627290074344,0,120
1.0,36.0,865.0,8.20247186497898,10.0,101.0,2.0,5.694631880381189,0.016008317010208946,101.0,0.016008317010208946,7.0,0.21823252574960425,3.953627290074344,75.0,120.0
1,36,865,2.5078399845977914,8,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1.0,37.0,168.0,8.77465049425191,10.0,91.0,2.0,4.581382910361047,0.10845502437226259,91.0,0.10845502437226259,17.0,0.12408863120498759,4.004186285051901,15.0,120.0
1,37,168,4.193267583890863,8,,,NaN,-Inf,,-Inf,17,0.12408863120498759,4.004186285051901,0,11
1,38,544,8.904656046467476,12,,,NaN,-Inf,,-Inf,54,0.1536691337296286,4.052426830776183,0,120
1.0,39.0,141.0,10.221158731389867,9.0,111.0,2.0,5.503465433778899,0.06480269479703223,111.0,0.06480269479703223,7.0,0.09686287347894068,3.953627290074344,72.0,120.0
1.0,39.0,141.0,4.717693297610968,8.0,47.0,2.0,4.638763638481376,0.0768824235562789,47.0,0.0768824235562789,7.0,0.09686287347894068,3.953627290074344,30.0,44.0
1.0,40.0,422.0,8.762839363585718,9.0,45.0,3.0,5.048734353382165,0.07565920235646283,45.0,0.07565920235646283,7.0,0.1317356519496701,3.953627290074344,57.0,120.0
1,40,422,3.7141050102035527,11,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1.0,41.0,1554.0,7.623508774798796,8.0,24.0,3.0,5.841312390135284,0.059614008222264224,24.0,0.059614008222264224,17.0,0.15283964067222475,4.004186285051901,81.0,120.0
1,41,1554,1.7821963846635116,8,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1.0,42.0,538.0,9.36943473856336,8.0,46.0,1.0,5.037571619262295,0.1001622917473514,46.0,0.1001622917473514,7.0,0.12762323841032555,3.953627290074344,21.0,120.0
1,42,538,4.331863119301065,11,,,NaN,-Inf,,-Inf,7,0.12762323841032555,3.953627290074344,0,18
1,43,413,7.833123279033233,8,,,NaN,-Inf,,-Inf,7,0.09876456118420128,3.953627290074344,0,120
1.0,44.0,1139.0,8.781540553944538,9.0,45.0,3.0,5.048734353382165,0.042781359368206096,45.0,0.042781359368206096,7.0,0.11050078972478783,3.953627290074344,99.0,120.0
1,44,1139,3.732806200562373,8,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,45,387,7.6835187964011595,8,,,NaN,-Inf,,-Inf,17,0.11671973443395868,4.004186285051901,0,120
1,46,356,8.560590234345959,9,,,NaN,-Inf,,-Inf,7,0.12985788166327683,3.953627290074344,0,120
1.0,47.0,310.0,8.125817104622572,8.0,53.0,1.0,4.721260298473322,0.07686847563666255,53.0,0.07686847563666255,7.0,0.09179319536230598,3.953627290074344,18.0,120.0
1,47,310,3.40455680614925,10,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1.0,48.0,1098.0,8.759960087483893,10.0,34.0,3.0,5.710552669956836,0.038481653535049246,34.0,0.038481653535049246,7.0,0.1040920148226572,3.953627290074344,115.0,120.0
1,48,1098,3.049407417527058,11,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,49,1126,8.96631160613747,8,,,NaN,-Inf,,-Inf,7,0.09124063856490673,3.953627290074344,0,120
1,50,797,7.938590037379113,8,,,NaN,-Inf,,-Inf,54,0.09208071672312557,4.052426830776183,0,120
1.0,51.0,1592.0,8.109231973805228,9.0,21.0,3.0,5.471343483869044,0.047718049368391934,21.0,0.047718049368391934,17.0,0.09933139660540691,4.004186285051901,112.0,120.0
1,51,1592,2.6378884899361843,10,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,52,21,8.783362062217769,10,,,NaN,-Inf,,-Inf,17,0.16106944514389201,4.004186285051901,0,120
1.0,53.0,680.0,9.835912935824211,11.0,113.0,2.0,4.4200062734986485,0.0875835669083683,113.0,0.0875835669083683,17.0,0.09667879754634313,4.004186285051901,16.0,120.0
1,53,680,5.415906662325563,9,,,NaN,-Inf,,-Inf,17,0.09667879754634313,4.004186285051901,0,90
1,54,429,8.572934121256056,9,,,NaN,-Inf,,-Inf,54,0.16696536173583443,4.052426830776183,0,120
1.0,55.0,901.0,8.312678092189087,9.0,48.0,3.0,5.25676483326971,0.003819675624451884,48.0,0.003819675624451884,7.0,0.15160247868257853,3.953627290074344,106.0,120.0
1,55,901,3.055913258919377,8,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,56,1574,9.393996532080678,9,,,NaN,-Inf,,-Inf,54,0.09970561578509676,4.052426830776183,0,120
1.0,57.0,133.0,9.310641656126366,12.0,55.0,1.0,4.727487618638091,0.06879744145799808,55.0,0.06879744145799808,17.0,0.08993697718590979,4.004186285051901,53.0,120.0
1,57,133,4.583154037488275,12,,,NaN,-Inf,,-Inf,17,0.08993697718590979,4.004186285051901,0,36
1.0,58.0,1589.0,8.097468120755906,8.0,40.0,2.0,5.6531199625415365,0.09047842782246948,40.0,0.09047842782246948,17.0,0.12773766505619658,4.004186285051901,37.0,120.0
1,58,1589,2.4443481582143693,10,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,59,162,7.649984912329868,12,,,NaN,-Inf,,-Inf,17,0.10271867149503802,4.004186285051901,0,120
1.0,60.0,560.0,7.874281980316754,11.0,53.0,1.0,4.721260298473322,0.14500289176391806,53.0,0.14500289176391806,7.0,0.17315653343639717,3.953627290074344,14.0,120.0
1,60,560,3.1530216818434322,11,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1.0,61.0,3.0,9.062094763432668,8.0,5.0,3.0,4.509758797548317,0.022803915289309598,5.0,0.022803915289309598,7.0,0.12858797597354826,3.953627290074344,84.0,120.0
1.0,61.0,3.0,4.552335965884351,8.0,107.0,1.0,4.467032247064405,0.11380910252406212,107.0,0.11380910252406212,7.0,0.12858797597354826,3.953627290074344,8.0,34.0
1.0,62.0,1016.0,9.305943355944406,13.0,103.0,2.0,4.337162329728809,0.13684061222940996,103.0,0.13684061222940996,17.0,0.1482198644838352,4.004186285051901,9.0,120.0
1,62,1016,4.968781026215597,8,,,NaN,-Inf,,-Inf,17,0.1482198644838352,4.004186285051901,0,64
1,63,1528,7.944302759635993,9,,,NaN,-Inf,,-Inf,17,0.16181954413191008,4.004186285051901,0,120
1.0,64.0,1178.0,9.291893532497705,8.0,90.0,3.0,4.237333817318958,0.07964616147332296,90.0,0.07964616147332296,7.0,0.15644464111248121,3.953627290074344,40.0,120.0
1,64,1178,5.054559715178747,7,,,NaN,-Inf,,-Inf,7,0.15644464111248121,3.953627290074344,0,71
1,65,1231,9.063455930819718,8,,,NaN,-Inf,,-Inf,7,0.1034784296492402,3.953627290074344,0,120
1.0,66.0,800.0,7.809249833934005,11.0,3.0,3.0,4.0868100456857634,0.007604338901624531,3.0,0.007604338901624531,17.0,0.2018797677320863,4.004186285051901,80.0,120.0
1,66,800,3.7224397882482414,9,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1.0,67.0,584.0,9.3031940656544,9.0,115.0,2.0,4.942998484627326,0.10553759139606698,115.0,0.10553759139606698,17.0,0.1302816895131579,4.004186285051901,23.0,120.0
1,67,584,4.3601955810270745,8,,,NaN,-Inf,,-Inf,17,0.1302816895131579,4.004186285051901,0,20
1.0,68.0,978.0,9.051870792126525,8.0,71.0,3.0,5.510952068465441,0.08725100257423245,71.0,0.08725100257423245,54.0,0.11865386179472431,4.052426830776183,37.0,120.0
1,68,978,3.5409187236610844,10,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,69,47,8.596581783325062,9,,,NaN,-Inf,,-Inf,54,0.10724887396081068,4.052426830776183,0,120
1.0,70.0,610.0,9.513299166591857,12.0,119.0,3.0,5.182520239655199,0.05986779796785593,119.0,0.05986779796785593,7.0,0.10067558758580353,3.953627290074344,82.0,120.0
1,70,610,4.330778926936658,11,,,NaN,-Inf,,-Inf,7,0.10067558758580353,3.953627290074344,0,18
1,71,374,8.462897064284974,8,,,NaN,-Inf,,-Inf,54,0.1144895668490467,4.052426830776183,0,120
1.0,72.0,225.0,9.444082904689957,11.0,74.0,2.0,5.002603054081418,0.10219342224911082,74.0,0.10219342224911082,17.0,0.12767466093146745,4.004186285051901,26.0,120.0
1,72,225,4.4414798506085384,8,,,NaN,-Inf,,-Inf,17,0.12767466093146745,4.004186285051901,0,26
1.0,73.0,777.0,9.69511765340172,8.0,72.0,1.0,5.739082478633662,0.09023180700167432,72.0,0.09023180700167432,7.0,0.13098042495781784,3.953627290074344,42.0,120.0
1,73,777,3.9560351747680578,8,,,NaN,-Inf,,-Inf,7,0.13098042495781784,3.953627290074344,0,1
1.0,74.0,558.0,8.024629879762223,9.0,10.0,3.0,5.315284020122469,0.08163554728044484,10.0,0.08163554728044484,7.0,0.12332952751133497,3.953627290074344,67.0,120.0
1,74,558,2.709345859639754,8,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,75,1395,8.627260315165332,9,,,NaN,-Inf,,-Inf,7,0.13874439221801108,3.953627290074344,0,120
1,76,578,9.62577928690257,10,,,NaN,-Inf,,-Inf,54,0.11139509119517883,4.052426830776183,0,120
1,77,1513,8.964534236322434,10,,,NaN,-Inf,,-Inf,7,0.15848419959554064,3.953627290074344,0,120
1.0,78.0,472.0,7.785610222540183,8.0,41.0,2.0,5.073570335924529,0.08088755367096141,41.0,0.08088755367096141,17.0,0.10248991021784436,4.004186285051901,47.0,120.0
1,78,472,2.7120398866156536,8,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,79,1282,7.531164570990974,8,,,NaN,-Inf,,-Inf,17,0.09769661526995325,4.004186285051901,0,120
1.0,80.0,1319.0,8.355311233662027,12.0,67.0,3.0,4.616935758603514,0.08630125412468836,67.0,0.08630125412468836,54.0,0.09832314383928951,4.052426830776183,12.0,120.0
1,80,1319,3.738375475058513,11,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,81,1194,8.674179362172563,10,,,NaN,-Inf,,-Inf,7,0.096811158491437,3.953627290074344,0,120
1.0,82.0,1575.0,8.456640208899874,13.0,33.0,1.0,5.494330441278654,0.04955477811716947,33.0,0.04955477811716947,54.0,0.1490183519488872,4.052426830776183,69.0,120.0
1,82,1575,2.9623097676212193,11,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1.0,83.0,1287.0,9.321303164061225,9.0,20.0,3.0,5.1111464103321635,0.06510708192865176,20.0,0.06510708192865176,17.0,0.15481019407650376,4.004186285051901,64.0,120.0
1,83,1287,4.210156753729062,12,,,NaN,-Inf,,-Inf,17,0.15481019407650376,4.004186285051901,0,15
1.0,84.0,1471.0,8.192251317421462,13.0,14.0,3.0,4.555773030877139,0.04429803294728053,14.0,0.04429803294728053,7.0,0.195482006510476,3.953627290074344,44.0,120.0
1,84,1471,3.636478286544323,10,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,85,960,9.381409931649475,8,,,NaN,-Inf,,-Inf,7,0.11241346918985226,3.953627290074344,0,120
1.0,86.0,125.0,8.436665935204804,11.0,97.0,2.0,4.685477243182734,0.069249401905867,97.0,0.069249401905867,54.0,0.11521556080461162,4.052426830776183,58.0,120.0
1,86,125,3.75118869202207,11,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1.0,87.0,859.0,9.222483166862565,9.0,24.0,3.0,5.841312390135284,0.08398513846943664,24.0,0.08398513846943664,7.0,0.12788112148555103,3.953627290074344,76.0,120.0
1,87,859,3.3811707767272807,8,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1.0,88.0,1150.0,9.168640639934466,8.0,102.0,3.0,5.200454747419792,0.04217236220456432,102.0,0.04217236220456432,17.0,0.18463820731995936,4.004186285051901,67.0,120.0
1,88,1150,3.968185892514674,11,,,NaN,-Inf,,-Inf,7,0.01046096616644863,3.953627290074344,0,1
1,89,597,8.448768549417064,10,,,NaN,-Inf,,-Inf,7,0.149291376593096,3.953627290074344,0,120
1,90,201,8.04205032863415,10,,,NaN,-Inf,,-Inf,54,0.1590345456226984,4.052426830776183,0,120
1.0,91.0,1286.0,7.908554012269309,8.0,75.0,3.0,5.429558739139512,0.08698130180744496,75.0,0.08698130180744496,54.0,0.1165400652724155,4.052426830776183,32.0,120.0
1,91,1286,2.4789952731297964,8,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1.0,92.0,217.0,7.857421892857154,9.0,90.0,3.0,4.237333817318958,0.2210965228888248,90.0,0.2210965228888248,54.0,0.23118487080715797,4.052426830776183,3.0,120.0
1,92,217,3.620088075538196,11,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1.0,93.0,1204.0,9.47872054765996,10.0,9.0,3.0,5.726727578914188,0.08778563164170552,9.0,0.08778563164170552,54.0,0.12405514491637783,4.052426830776183,37.0,120.0
1,93,1204,3.751992968745771,10,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1.0,94.0,1305.0,8.753381844702815,11.0,3.0,3.0,4.0868100456857634,0.07724802991831947,3.0,0.07724802991831947,7.0,0.12759477629840427,3.953627290074344,38.0,120.0
1,94,1305,4.666571799017052,8,,,NaN,-Inf,,-Inf,7,0.12759477629840427,3.953627290074344,0,40
1,95,1483,9.428166257516361,9,,,NaN,-Inf,,-Inf,7,0.1844321501389335,3.953627290074344,0,120
1.0,96.0,51.0,9.380637913330995,8.0,105.0,1.0,4.642699108259439,0.04733948020084034,105.0,0.04733948020084034,54.0,0.12379168493088995,4.052426830776183,95.0,120.0
1,96,51,4.737938805071556,9,,,NaN,-Inf,,-Inf,54,0.12379168493088995,4.052426830776183,0,46
1,97,71,9.47389379801848,10,,,NaN,-Inf,,-Inf,54,0.15136416285037918,4.052426830776183,0,120
1,98,1459,7.789902764788328,9,,,NaN,-Inf,,-Inf,17,0.10217196978294558,4.004186285051901,0,120
1,99,301,8.762401931951592,8,,,NaN,-Inf,,-Inf,54,0.14157339987794132,4.052426830776183,0,120
1,100,907,7.60995592348901,9,,,NaN,-Inf,,-Inf,7,0.1155455568756115,3.953627290074344,0,120
1,101,42,7.697628357458196,11,,,NaN,-Inf,,-Inf,54,0.08863345970609798,4.052426830776183,0,120
1.0,102.0,403.0,7.827040306838189,10.0,112.0,2.0,4.009108849352124,0.061941774558853926,112.0,0.061941774558853926,7.0,0.09616185386272423,3.953627290074344,79.0,120.0
1,102,403,3.8179314574860648,11,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1.0,103.0,304.0,9.085265265589735,11.0,98.0,1.0,5.21120670650786,0.05016782645633519,98.0,0.05016782645633519,17.0,0.17828782214110853,4.004186285051901,68.0,120.0
1,103,304,3.874058559081875,9,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,104,111,8.228819883211521,10,,,NaN,-Inf,,-Inf,17,0.1231110382795471,4.004186285051901,0,120
1.0,105.0,1155.0,8.84951833391409,9.0,90.0,3.0,4.237333817318958,0.149979984356503,90.0,0.149979984356503,54.0,0.15682337675003868,4.052426830776183,3.0,120.0
1,105,1155,4.612184516595133,10,,,NaN,-Inf,,-Inf,54,0.15682337675003868,4.052426830776183,0,37
1,106,170,7.769062795528372,10,,,NaN,-Inf,,-Inf,17,0.1612122575024826,4.004186285051901,0,120
1.0,107.0,417.0,8.666671512218542,12.0,25.0,3.0,5.4192668686270835,0.046127704551736814,25.0,0.046127704551736814,7.0,0.15504534534767367,3.953627290074344,68.0,120.0
1,107,417,3.2474046435914588,11,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,108,880,7.993057906767872,11,,,NaN,-Inf,,-Inf,17,0.10844828937878188,4.004186285051901,0,120
1,109,10,8.13255263801285,9,,,NaN,-Inf,,-Inf,17,0.14882124247167783,4.004186285051901,0,120
1.0,110.0,1594.0,8.435169873042524,11.0,47.0,2.0,4.638763638481376,0.07656274688782211,47.0,0.07656274688782211,54.0,0.11106364856628721,4.052426830776183,56.0,120.0
1,110,1594,3.7964062345611476,12,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,111,35,8.825786645091586,9,,,NaN,-Inf,,-Inf,17,0.21114187369358653,4.004186285051901,0,120
1.0,112.0,1425.0,8.449899489767127,9.0,37.0,1.0,4.202397025397185,0.060320815734065183,37.0,0.060320815734065183,54.0,0.09537344187854066,4.052426830776183,86.0,120.0
1,112,1425,4.2475024643699415,8,,,NaN,-Inf,,-Inf,54,0.09537344187854066,4.052426830776183,0,17
1.0,113.0,361.0,7.486173113785374,9.0,73.0,2.0,4.789931808281041,0.051657888072912654,73.0,0.051657888072912654,7.0,0.10033840012855383,3.953627290074344,97.0,120.0
1,113,361,2.6962413055043326,9,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,114,83,8.843012037245515,9,,,NaN,-Inf,,-Inf,7,0.10936319969941731,3.953627290074344,0,120
1,115,382,9.3371821592632,8,,,NaN,-Inf,,-Inf,54,0.13169422303587838,4.052426830776183,0,120
1,116,1380,8.11090431980614,8,,,NaN,-Inf,,-Inf,7,0.24712176035540173,3.953627290074344,0,120
1.0,117.0,935.0,8.795296193396988,10.0,11.0,3.0,4.710414046944171,0.09614784812708756,11.0,0.09614784812708756,54.0,0.11175924780720654,4.052426830776183,11.0,120.0
1.0,117.0,935.0,4.084882146452816,8.0,112.0,2.0,4.009108849352124,0.05829664085509031,112.0,0.05829664085509031,54.0,0.11175924780720654,4.052426830776183,5.0,9.0
1.0,118.0,1171.0,9.007336282053396,8.0,53.0,1.0,4.721260298473322,0.0660433439274546,53.0,0.0660433439274546,54.0,0.10819400913480595,4.052426830776183,55.0,120.0
1,118,1171,4.286075983580075,8,,,NaN,-Inf,,-Inf,54,0.10819400913480595,4.052426830776183,0,17
1,119,1077,8.395687431701834,8,,,NaN,-Inf,,-Inf,54,0.14317559899357615,4.052426830776183,0,120
1.0,120.0,854.0,9.102549961397532,11.0,116.0,3.0,5.154685106740144,0.10124197332813273,116.0,0.10124197332813273,54.0,0.1287797445540928,4.052426830776183,27.0,120.0
1,120,854,3.9478648546573885,8,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1.0,121.0,569.0,9.191255631552274,9.0,21.0,3.0,5.471343483869044,0.023335211339167976,21.0,0.023335211339167976,17.0,0.12373390750315742,4.004186285051901,112.0,120.0
1,121,569,3.71991214768323,12,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,122,1000,8.61368946923892,10,,,NaN,-Inf,,-Inf,54,0.11581542178494401,4.052426830776183,0,120
1.0,123.0,86.0,8.351946768822065,12.0,20.0,3.0,5.1111464103321635,0.019866645463643286,20.0,0.019866645463643286,17.0,0.16603605384387196,4.004186285051901,101.0,120.0
1,123,86,3.240800358489902,11,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,124,1109,8.788748049186554,8,,,NaN,-Inf,,-Inf,7,0.11219496696179813,3.953627290074344,0,120
1.0,125.0,193.0,9.6631382685898,10.0,38.0,1.0,5.560806066287892,0.1294475937870858,38.0,0.1294475937870858,7.0,0.18206899942358043,3.953627290074344,30.0,120.0
1,125,193,4.102332202301907,10,,,NaN,-Inf,,-Inf,7,0.18206899942358043,3.953627290074344,0,11
1.0,126.0,913.0,10.183089877143,9.0,75.0,3.0,5.429558739139512,0.0841768257937697,75.0,0.0841768257937697,54.0,0.11278254715188694,4.052426830776183,33.0,120.0
1.0,126.0,913.0,4.753531138003488,14.0,49.0,1.0,4.334222590544507,0.07782759314823412,49.0,0.07782759314823412,54.0,0.11278254715188694,4.052426830776183,18.0,47.0
1,126,913,0.4193085474589813,9,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,127,1576,9.643512656843772,8,,,NaN,-Inf,,-Inf,54,0.13498607129178436,4.052426830776183,0,120
1,128,416,7.0230678105399535,8,,,NaN,-Inf,,-Inf,17,0.127625743594613,4.004186285051901,0,120
1,129,807,10.181653365765284,9,,,NaN,-Inf,,-Inf,54,0.09098898501484685,4.052426830776183,0,120
1,130,1217,8.6636691550042,12,,,NaN,-Inf,,-Inf,7,0.10954882993584535,3.953627290074344,0,120
1,131,1116,8.710751008543355,8,,,NaN,-Inf,,-Inf,7,0.120547371102517,3.953627290074344,0,120
1.0,132.0,954.0,9.325699162567584,9.0,109.0,2.0,4.215984877159231,0.11368562346891474,109.0,0.11368562346891474,17.0,0.11969894384899993,4.004186285051901,8.0,120.0
1.0,132.0,954.0,5.109714285408353,11.0,109.0,2.0,4.215984877159231,0.11368562346891474,109.0,0.11368562346891474,17.0,0.11969894384899993,4.004186285051901,8.0,76.0
1,132,954,0.8937294082491221,10,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,133,377,8.216751168770212,10,,,NaN,-Inf,,-Inf,54,0.11102656349714071,4.052426830776183,0,120
1.0,134.0,1025.0,10.301995143347405,10.0,85.0,1.0,4.491990095275938,0.07741839858153227,85.0,0.07741839858153227,17.0,0.10688464424120132,4.004186285051901,47.0,120.0
1.0,134.0,1025.0,5.810005048071467,12.0,89.0,2.0,4.1991651363315174,0.10192169458883629,89.0,0.10192169458883629,17.0,0.10688464424120132,4.004186285051901,5.0,115.0
1,134,1025,1.6108399117399497,9,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1.0,135.0,668.0,9.524639285794605,12.0,84.0,1.0,5.766621602916988,0.10849982614041409,84.0,0.10849982614041409,7.0,0.1582540273598435,3.953627290074344,34.0,120.0
1,135,668,3.7580176828776164,8,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,136,837,9.139148811453142,9,,,NaN,-Inf,,-Inf,54,0.1164562924355095,4.052426830776183,0,120
1.0,137.0,1115.0,7.850482685066498,10.0,84.0,1.0,5.766621602916988,0.05731539220857962,84.0,0.05731539220857962,17.0,0.09102386424484946,4.004186285051901,107.0,120.0
1,137,1115,2.08386108214951,8,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
